Nombre,Costo,Motor,Cilindros,Caballos,Millaje,Peso 
Kia Spectra GSX 4dr hatch,13790,1.8,4,124,32,2697
Lexus ES 330 4dr,28755,3.3,6,225,29,3460
Lexus GS 300 4dr,36196,3,6,220,25,3649
Lexus GS 430 4dr,42232,4.3,8,300,23,3715
Lexus IS 300 4dr auto,28611,3,6,215,24,3285
Lexus IS 300 4dr manual,27404,3,6,215,25,3255
Lexus LS 430 4dr,48583,4.3,8,290,25,3990
Lincoln LS V6 Luxury 4dr,29969,3,6,232,26,3681
Lincoln LS V6 Premium 4dr,33929,3,6,232,26,3681
Lincoln LS V8 Sport 4dr,36809,3.9,8,280,24,3768
Lincoln LS V8 Ultimate 4dr,39869,3.9,8,280,24,3768
Lincoln Town Car Signature 4dr,38418,4.6,8,239,25,4369
Lincoln Town Car Ultimate 4dr,41217,4.6,8,239,25,4369
Lincoln Town Car Ultimate L 4dr,46208,4.6,8,239,25,4474
Mazda6 i 4dr,17817,2.3,4,160,32,3042
Mercedes-Benz C230 Sport 2dr,24249,1.8,4,189,30,3250
Mercedes-Benz C240 4dr,30071,2.6,6,168,25,3360
Mercedes-Benz C240 4dr V2,31187,2.6,6,168,25,3360
Mercedes-Benz C32 AMG 4dr,48522,3.2,6,349,21,3540
Mercedes-Benz C320 4dr,35046,3.2,6,215,26,3450
Mercedes-Benz C320 Sport 2dr,26435,3.2,6,215,26,3430
Mercedes-Benz C320 Sport 4dr,33456,3.2,6,215,26,3430
Mercedes-Benz CL500 2dr,88324,5,8,302,24,4085
Mercedes-Benz CL600 2dr,119600,5.5,12,493,19,4473
Mercedes-Benz CLK320 coupe 2dr (convertible),41966,3.2,6,215,26,3770
Mercedes-Benz CLK500 coupe 2dr (convertible),49104,5,8,302,22,3585
Mercedes-Benz E320 4dr,44849,3.2,6,221,27,3635
Mercedes-Benz E500 4dr,53382,5,8,302,20,3815
Mercedes-Benz S430 4dr,69168,4.3,8,275,26,4160
Mercedes-Benz S500 4dr,80939,5,8,302,24,4390
Mercury Grand Marquis GS 4dr,23217,4.6,8,224,25,4052
Mercury Grand Marquis LS Premium 4dr,27148,4.6,8,224,25,4052
Mercury Grand Marquis LS Ultimate 4dr,28318,4.6,8,224,25,4052
Mercury Marauder 4dr,31558,4.6,8,302,23,4195
Mercury Sable GS 4dr,19848,3,6,155,27,3308
Mercury Sable LS Premium 4dr,21918,3,6,201,26,3315
Mini Cooper,15437,1.6,4,115,37,2524
Mini Cooper S,18137,1.6,4,163,34,2678
Mitsubishi Diamante LS 4dr,27250,3.5,6,205,25,3549
Mitsubishi Galant GTS 4dr,23883,3.8,6,230,26,3649
Nissan Altima S 4dr,18030,2.5,4,175,26,3039
Nissan Altima SE 4dr,21580,3.5,6,245,26,3197
Nissan Maxima SE 4dr,25182,3.5,6,265,28,3473
Nissan Maxima SL 4dr,26966,3.5,6,265,28,3476
Nissan Sentra 1.8 4dr,12205,1.8,4,126,35,2513
Nissan Sentra 1.8 S 4dr,13747,1.8,4,126,35,2581
Nissan Sentra SE-R 4dr,16444,2.5,4,165,28,2761
Oldsmobile Alero GLS 2dr,21485,3.4,6,170,29,3085
Oldsmobile Alero GX 2dr,17642,2.2,4,140,32,2946
Pontiac Grand Am GT 2dr,20595,3.4,6,175,29,3118
Pontiac Grand Prix GT1 4dr,20545,3.8,6,200,30,3477
Pontiac Grand Prix GT2 4dr,22284,3.8,6,200,30,3484
Pontiac Sunfire 1SA 2dr,14375,2.2,4,140,33,2771
Pontiac Sunfire 1SC 2dr,16369,2.2,4,140,33,2771
Saab 9-3 Aero 4dr,31562,2,4,210,28,3175
Saab 9-3 Aero convertible 2dr,40883,2,4,210,30,3700
Saab 9-3 Arc convertible 2dr,38520,2,4,210,29,3480
Saab 9-3 Arc Sport 4dr,29269,2,4,210,28,3175
Saab 9-5 Aero 4dr,37721,2.3,4,250,29,3470
Saab 9-5 Arc 4dr,33011,2.3,4,220,29,3470
Saturn Ion1 4dr,10319,2.2,4,140,35,2692
Saturn L300-2 4dr,19801,3,6,182,28,3197
Saturn lon2 4dr,13393,2.2,4,140,35,2692
Saturn lon2 quad coupe 2dr,13904,2.2,4,140,35,2751
Saturn lon3 4dr,14811,2.2,4,140,35,2692
Saturn lon3 quad coupe 2dr,15299,2.2,4,140,35,2751
Scion xA 4dr hatch,12340,1.5,4,108,38,2340
Subaru Impreza 2.5 RS 4dr,18399,2.5,4,165,28,2965
Subaru Legacy GT 4dr,23336,2.5,4,165,28,3395
Subaru Legacy L 4dr,18713,2.5,4,165,28,3285
Subaru Outback H6 4dr,26660,3,6,212,26,3610
Subaru Outback H-6 VDC 4dr,28603,3,6,212,26,3630
Subaru Outback Limited Sedan 4dr,24687,2.5,4,165,27,3495
Suzuki Aeno S 4dr,12719,2.3,4,155,31,2676
Suzuki Aerio LX 4dr,14317,2.3,4,155,31,2676
Suzuki Forenza EX 4dr,15378,2,4,119,30,2756
Suzuki Forenza S 4dr,12116,2,4,119,31,2701
Suzuki Verona LX 4dr,17053,2.5,6,155,27,3380
Toyota Avalon XL 4dr,23693,3,6,210,29,3417
Toyota Avalon XLS 4dr,27271,3,6,210,29,3439
Toyota Camry LE 4dr,17558,2.4,4,157,33,3086
Toyota Camry LE V6 4dr,20325,3,6,210,29,3296
Toyota Camry Solara SE 2dr,17722,2.4,4,157,33,3175
Toyota Camry Solara SE V6 2dr,19819,3.3,6,225,29,3417
Toyota Camry Solara SLE V6 2dr,23908,3.3,6,225,29,3439
Toyota Camry XLE V6 4dr,23125,3,6,210,29,3362
Toyota Corolla CE 4dr,13065,1.8,4,130,40,2502
Toyota Corolla LE 4dr,13889,1.8,4,130,40,2524
Toyota Corolla S 4dr,13650,1.8,4,130,40,2524
Toyota Echo 2dr auto,10896,1.5,4,108,39,2085
Toyota Echo 2dr manual,10144,1.5,4,108,43,2035
Toyota Echo 4dr,10642,1.5,4,108,43,2055
Toyota Prius 4dr (gas/electric),18926,1.5,4,110,51,2890
Volkswagen Golf GLS 4dr,17478,2,4,115,31,2897
Volkswagen GTI 1.8T 2dr hatch,18109,1.8,4,180,31,2934
Volkswagen Jetta GLI VR6 4dr,21686,2.8,6,200,30,3179
Volkswagen Jetta GLS TDI 4dr,19638,1.9,4,100,46,3003
Volkswagen New Beetle GLS 1.8T 2dr,19638,1.8,4,150,31,2820
Volkswagen New Beetle GLS convertible 2dr,21689,2,4,115,30,3082
Volkswagen Passat GLS 4dr,21898,1.8,4,170,31,3241
Volkswagen Passat GLX V6 4MOTION 4dr,30583,2.8,6,190,26,3721
Volkswagen Passat W8 4MOTION 4dr,36052,4,8,270,25,3953
Volvo C70 HPT convertible 2dr,40083,2.3,5,242,26,3450
Volvo C70 LPT convertible 2dr,38203,2.4,5,197,28,3450
Volvo S40 4dr,23701,1.9,4,170,29,2767
Volvo S60 2.5 4dr,29916,2.5,5,208,27,3903
Volvo S60 R 4dr,35382,2.5,5,300,25,3571
Volvo S60 T5 4dr,32902,2.3,5,247,28,3766
Volvo S80 2.5T 4dr,35688,2.5,5,194,27,3691
Volvo S80 2.9 4dr,35542,2.9,6,208,28,3576
Volvo S80 T6 4dr,42573,2.9,6,268,26,3653
