"","dteday","hr"
"161",2011-01-07,23
"162",2011-01-08,0
"163",2011-01-08,1
"164",2011-01-08,2
"165",2011-01-08,3
"166",2011-01-08,4
"167",2011-01-08,5
"168",2011-01-08,6
"169",2011-01-08,7
"170",2011-01-08,8
"171",2011-01-08,9
"172",2011-01-08,10
"173",2011-01-08,11
"174",2011-01-08,12
"175",2011-01-08,13
"176",2011-01-08,14
"177",2011-01-08,15
"178",2011-01-08,16
"179",2011-01-08,17
"180",2011-01-08,18
"181",2011-01-08,19
"182",2011-01-08,20
"183",2011-01-08,21
"184",2011-01-08,22
"185",2011-01-08,23
"186",2011-01-09,0
"187",2011-01-09,1
"188",2011-01-09,2
"189",2011-01-09,3
"190",2011-01-09,4
"191",2011-01-09,5
"192",2011-01-09,6
"193",2011-01-09,7
"194",2011-01-09,8
"195",2011-01-09,9
"196",2011-01-09,10
"197",2011-01-09,11
"198",2011-01-09,12
"199",2011-01-09,13
"200",2011-01-09,14
"201",2011-01-09,15
"202",2011-01-09,16
"203",2011-01-09,17
"204",2011-01-09,18
"205",2011-01-09,19
"206",2011-01-09,20
"207",2011-01-09,21
"208",2011-01-09,22
"209",2011-01-09,23
"210",2011-01-10,0
"211",2011-01-10,1
"212",2011-01-10,2
"213",2011-01-10,3
"214",2011-01-10,4
"215",2011-01-10,5
"216",2011-01-10,6
"217",2011-01-10,7
"218",2011-01-10,8
"219",2011-01-10,9
"220",2011-01-10,10
"221",2011-01-10,11
"222",2011-01-10,12
"223",2011-01-10,13
"224",2011-01-10,14
"225",2011-01-10,15
"226",2011-01-10,16
"227",2011-01-10,17
"228",2011-01-10,18
"229",2011-01-10,19
"230",2011-01-10,20
"231",2011-01-10,21
"232",2011-01-10,22
"233",2011-01-10,23
"234",2011-01-11,0
"235",2011-01-11,1
"236",2011-01-11,2
"237",2011-01-11,5
"238",2011-01-11,6
"239",2011-01-11,7
"240",2011-01-11,8
"241",2011-01-11,9
"242",2011-01-11,10
"243",2011-01-11,11
"244",2011-01-11,12
"245",2011-01-11,13
"246",2011-01-11,14
"247",2011-01-11,15
"248",2011-01-11,16
"249",2011-01-11,17
"250",2011-01-11,18
"251",2011-01-11,19
"252",2011-01-11,20
"253",2011-01-11,21
"254",2011-01-11,22
"255",2011-01-11,23
"256",2011-01-12,0
"257",2011-01-12,1
"258",2011-01-12,2
"259",2011-01-12,5
"260",2011-01-12,6
"261",2011-01-12,7
"262",2011-01-12,8
"263",2011-01-12,9
"264",2011-01-12,10
"265",2011-01-12,11
"266",2011-01-12,12
"267",2011-01-12,13
"268",2011-01-12,14
"269",2011-01-12,15
"270",2011-01-12,16
"271",2011-01-12,17
"272",2011-01-12,18
"273",2011-01-12,19
"274",2011-01-12,20
"275",2011-01-12,21
"276",2011-01-12,22
"277",2011-01-12,23
"278",2011-01-13,0
"279",2011-01-13,1
"280",2011-01-13,2
"281",2011-01-13,3
"282",2011-01-13,4
"283",2011-01-13,5
"284",2011-01-13,6
"285",2011-01-13,7
"286",2011-01-13,8
"287",2011-01-13,9
"288",2011-01-13,10
"289",2011-01-13,11
"290",2011-01-13,12
"291",2011-01-13,13
"292",2011-01-13,14
"293",2011-01-13,15
"294",2011-01-13,16
"295",2011-01-13,17
"296",2011-01-13,18
"297",2011-01-13,19
"298",2011-01-13,20
"299",2011-01-13,21
"300",2011-01-13,22
"301",2011-01-13,23
"302",2011-01-14,0
"303",2011-01-14,1
"304",2011-01-14,2
"305",2011-01-14,3
"306",2011-01-14,5
"307",2011-01-14,6
"308",2011-01-14,7
"309",2011-01-14,8
"310",2011-01-14,9
"311",2011-01-14,10
"312",2011-01-14,11
"313",2011-01-14,12
"314",2011-01-14,13
"315",2011-01-14,14
"316",2011-01-14,15
"317",2011-01-14,16
"318",2011-01-14,17
"319",2011-01-14,18
"320",2011-01-14,19
"321",2011-01-14,20
"322",2011-01-14,21
"323",2011-01-14,22
"324",2011-01-14,23
"325",2011-01-15,0
"326",2011-01-15,1
"327",2011-01-15,2
"328",2011-01-15,3
"329",2011-01-15,4
"330",2011-01-15,5
"331",2011-01-15,6
"332",2011-01-15,7
"333",2011-01-15,8
"334",2011-01-15,9
"335",2011-01-15,10
"336",2011-01-15,11
"337",2011-01-15,12
"338",2011-01-15,13
"339",2011-01-15,14
"340",2011-01-15,15
"341",2011-01-15,16
"342",2011-01-15,17
"343",2011-01-15,18
"344",2011-01-15,19
"345",2011-01-15,20
"346",2011-01-15,21
"347",2011-01-15,22
"348",2011-01-15,23
"349",2011-01-16,0
"350",2011-01-16,1
"351",2011-01-16,2
"352",2011-01-16,3
"353",2011-01-16,4
"354",2011-01-16,5
"355",2011-01-16,6
"356",2011-01-16,7
"357",2011-01-16,8
"358",2011-01-16,9
"359",2011-01-16,10
"360",2011-01-16,11
"361",2011-01-16,12
"362",2011-01-16,13
"363",2011-01-16,14
"364",2011-01-16,15
"365",2011-01-16,16
"366",2011-01-16,17
"367",2011-01-16,18
"368",2011-01-16,19
"369",2011-01-16,20
"370",2011-01-16,21
"371",2011-01-16,22
"372",2011-01-16,23
"373",2011-01-17,0
"374",2011-01-17,1
"375",2011-01-17,2
"376",2011-01-17,3
"377",2011-01-17,4
"378",2011-01-17,5
"379",2011-01-17,6
"380",2011-01-17,7
"381",2011-01-17,8
"382",2011-01-17,9
"383",2011-01-17,10
"384",2011-01-17,11
"385",2011-01-17,12
"386",2011-01-17,13
"387",2011-01-17,14
"388",2011-01-17,15
"389",2011-01-17,16
"390",2011-01-17,17
"391",2011-01-17,18
"392",2011-01-17,19
"393",2011-01-17,20
"394",2011-01-17,21
"395",2011-01-17,22
"396",2011-01-17,23
"397",2011-01-18,12
"398",2011-01-18,13
"399",2011-01-18,14
"400",2011-01-18,15
"401",2011-01-18,16
"402",2011-01-18,17
"403",2011-01-18,18
"404",2011-01-18,19
"405",2011-01-18,20
"406",2011-01-18,21
"407",2011-01-18,22
"408",2011-01-18,23
"409",2011-01-19,0
"410",2011-01-19,1
"411",2011-01-19,2
"412",2011-01-19,4
"413",2011-01-19,5
"414",2011-01-19,6
"415",2011-01-19,7
"416",2011-01-19,8
"417",2011-01-19,9
"418",2011-01-19,10
"419",2011-01-19,11
"420",2011-01-19,12
"421",2011-01-19,13
"422",2011-01-19,14
"423",2011-01-19,15
"424",2011-01-19,16
"425",2011-01-19,17
"426",2011-01-19,18
"427",2011-01-19,19
"428",2011-01-19,20
"429",2011-01-19,21
"430",2011-01-19,22
"431",2011-01-19,23
"432",2011-01-20,0
"433",2011-01-20,1
"434",2011-01-20,2
"435",2011-01-20,3
"436",2011-01-20,4
"437",2011-01-20,5
"438",2011-01-20,6
"439",2011-01-20,7
"440",2011-01-20,8
"441",2011-01-20,9
"442",2011-01-20,10
"443",2011-01-20,11
"444",2011-01-20,12
"445",2011-01-20,13
"446",2011-01-20,14
"447",2011-01-20,15
"448",2011-01-20,16
"449",2011-01-20,17
"450",2011-01-20,18
"451",2011-01-20,19
"452",2011-01-20,20
"453",2011-01-20,21
"454",2011-01-20,22
"455",2011-01-20,23
"456",2011-01-21,0
"457",2011-01-21,1
"458",2011-01-21,2
"459",2011-01-21,3
"460",2011-01-21,4
"461",2011-01-21,5
"462",2011-01-21,6
"463",2011-01-21,7
"464",2011-01-21,8
"465",2011-01-21,9
"466",2011-01-21,10
"467",2011-01-21,11
"468",2011-01-21,12
"469",2011-01-21,13
"470",2011-01-21,14
"471",2011-01-21,15
"472",2011-01-21,16
"473",2011-01-21,17
"474",2011-01-21,18
"475",2011-01-21,19
"476",2011-01-21,20
"477",2011-01-21,21
"478",2011-01-21,22
"479",2011-01-21,23
"480",2011-01-22,0
"481",2011-01-22,1
"482",2011-01-22,2
"483",2011-01-22,3
"484",2011-01-22,4
"485",2011-01-22,6
"486",2011-01-22,7
"487",2011-01-22,8
"488",2011-01-22,9
"489",2011-01-22,10
"490",2011-01-22,11
"491",2011-01-22,12
"492",2011-01-22,13
"493",2011-01-22,14
"494",2011-01-22,15
"495",2011-01-22,16
"496",2011-01-22,17
"497",2011-01-22,18
"498",2011-01-22,19
"499",2011-01-22,20
"500",2011-01-22,21
"501",2011-01-22,22
"502",2011-01-22,23
"503",2011-01-23,0
"504",2011-01-23,1
"505",2011-01-23,2
"506",2011-01-23,3
"507",2011-01-23,5
"508",2011-01-23,6
"509",2011-01-23,7
"510",2011-01-23,8
"511",2011-01-23,9
"512",2011-01-23,10
"513",2011-01-23,11
"514",2011-01-23,12
"515",2011-01-23,13
"516",2011-01-23,14
"517",2011-01-23,15
"518",2011-01-23,16
"519",2011-01-23,17
"520",2011-01-23,18
"521",2011-01-23,19
"522",2011-01-23,20
"523",2011-01-23,21
"524",2011-01-23,22
"525",2011-01-23,23
"526",2011-01-24,0
"527",2011-01-24,1
"528",2011-01-24,3
"529",2011-01-24,4
"530",2011-01-24,5
"531",2011-01-24,6
"532",2011-01-24,7
"533",2011-01-24,8
"534",2011-01-24,9
"535",2011-01-24,10
"536",2011-01-24,11
"537",2011-01-24,12
"538",2011-01-24,13
"539",2011-01-24,14
"540",2011-01-24,15
"541",2011-01-24,16
"542",2011-01-24,17
"543",2011-01-24,18
"544",2011-01-24,19
"545",2011-01-24,20
"546",2011-01-24,21
"547",2011-01-24,22
"548",2011-01-24,23
"549",2011-01-25,0
"550",2011-01-25,1
"551",2011-01-25,2
"552",2011-01-25,4
"553",2011-01-25,5
"554",2011-01-25,6
"555",2011-01-25,7
"556",2011-01-25,8
"557",2011-01-25,9
"558",2011-01-25,10
"559",2011-01-25,11
"560",2011-01-25,12
"561",2011-01-25,13
"562",2011-01-25,14
"563",2011-01-25,15
"564",2011-01-25,16
"565",2011-01-25,17
"566",2011-01-25,18
"567",2011-01-25,19
"568",2011-01-25,20
"569",2011-01-25,21
"570",2011-01-25,22
"571",2011-01-25,23
"572",2011-01-26,0
"573",2011-01-26,1
"574",2011-01-26,2
"575",2011-01-26,5
"576",2011-01-26,6
"577",2011-01-26,7
"578",2011-01-26,8
"579",2011-01-26,9
"580",2011-01-26,10
"581",2011-01-26,11
"582",2011-01-26,12
"583",2011-01-26,13
"584",2011-01-26,14
"585",2011-01-26,15
"586",2011-01-26,16
"587",2011-01-26,17
"588",2011-01-27,16
"589",2011-01-27,17
"590",2011-01-27,18
"591",2011-01-27,19
"592",2011-01-27,20
"593",2011-01-27,21
"594",2011-01-27,22
"595",2011-01-27,23
"596",2011-01-28,0
"597",2011-01-28,1
"598",2011-01-28,2
"599",2011-01-28,3
"600",2011-01-28,5
"601",2011-01-28,6
"602",2011-01-28,7
"603",2011-01-28,8
"604",2011-01-28,9
"605",2011-01-28,10
"606",2011-01-28,11
"607",2011-01-28,12
"608",2011-01-28,13
"609",2011-01-28,14
"610",2011-01-28,15
"611",2011-01-28,16
"612",2011-01-28,17
"613",2011-01-28,18
"614",2011-01-28,19
"615",2011-01-28,20
"616",2011-01-28,21
"617",2011-01-28,22
"618",2011-01-28,23
"619",2011-01-29,0
"620",2011-01-29,1
"621",2011-01-29,2
"622",2011-01-29,3
"623",2011-01-29,4
"624",2011-01-29,6
"625",2011-01-29,7
"626",2011-01-29,8
"627",2011-01-29,9
"628",2011-01-29,10
"629",2011-01-29,11
"630",2011-01-29,12
"631",2011-01-29,13
"632",2011-01-29,14
"633",2011-01-29,15
"634",2011-01-29,16
"635",2011-01-29,17
"636",2011-01-29,18
"637",2011-01-29,19
"638",2011-01-29,20
"639",2011-01-29,21
"640",2011-01-29,22
"641",2011-01-29,23
"642",2011-01-30,0
"643",2011-01-30,1
"644",2011-01-30,2
"645",2011-01-30,3
"646",2011-01-30,4
"647",2011-01-30,5
"648",2011-01-30,7
"649",2011-01-30,8
"650",2011-01-30,9
"651",2011-01-30,10
"652",2011-01-30,11
"653",2011-01-30,12
"654",2011-01-30,13
"655",2011-01-30,14
"656",2011-01-30,15
"657",2011-01-30,16
"658",2011-01-30,17
"659",2011-01-30,18
"660",2011-01-30,19
"661",2011-01-30,20
"662",2011-01-30,21
"663",2011-01-30,22
"664",2011-01-30,23
"665",2011-01-31,0
"666",2011-01-31,1
"667",2011-01-31,2
"668",2011-01-31,3
"669",2011-01-31,4
"670",2011-01-31,5
"671",2011-01-31,6
"672",2011-01-31,7
"673",2011-01-31,8
"674",2011-01-31,9
"675",2011-01-31,10
"676",2011-01-31,11
"677",2011-01-31,12
"678",2011-01-31,13
"679",2011-01-31,14
"680",2011-01-31,15
"681",2011-01-31,16
"682",2011-01-31,17
"683",2011-01-31,18
"684",2011-01-31,19
"685",2011-01-31,20
"686",2011-01-31,21
"687",2011-01-31,22
"688",2011-01-31,23
"689",2011-02-01,0
"690",2011-02-01,1
"691",2011-02-01,2
"692",2011-02-01,3
"693",2011-02-01,5
"694",2011-02-01,6
"695",2011-02-01,7
"696",2011-02-01,8
"697",2011-02-01,9
"698",2011-02-01,10
"699",2011-02-01,11
"700",2011-02-01,12
"701",2011-02-01,13
"702",2011-02-01,14
"703",2011-02-01,15
"704",2011-02-01,16
"705",2011-02-01,17
"706",2011-02-01,18
"707",2011-02-01,19
"708",2011-02-01,20
"709",2011-02-01,21
"710",2011-02-01,22
"711",2011-02-01,23
"712",2011-02-02,0
"713",2011-02-02,1
"714",2011-02-02,2
"715",2011-02-02,3
"716",2011-02-02,4
"717",2011-02-02,5
"718",2011-02-02,6
"719",2011-02-02,7
"720",2011-02-02,8
"721",2011-02-02,9
"722",2011-02-02,10
"723",2011-02-02,11
"724",2011-02-02,12
"725",2011-02-02,13
"726",2011-02-02,14
"727",2011-02-02,15
"728",2011-02-02,16
"729",2011-02-02,17
"730",2011-02-02,18
"731",2011-02-02,19
"732",2011-02-02,20
"733",2011-02-02,21
"734",2011-02-02,22
"735",2011-02-02,23
"736",2011-02-03,0
"737",2011-02-03,1
"738",2011-02-03,2
"739",2011-02-03,3
"740",2011-02-03,5
"741",2011-02-03,6
"742",2011-02-03,7
"743",2011-02-03,8
"744",2011-02-03,9
"745",2011-02-03,10
"746",2011-02-03,11
"747",2011-02-03,12
"748",2011-02-03,13
"749",2011-02-03,14
"750",2011-02-03,15
"751",2011-02-03,16
"752",2011-02-03,17
"753",2011-02-03,18
"754",2011-02-03,19
"755",2011-02-03,20
"756",2011-02-03,21
"757",2011-02-03,22
"758",2011-02-03,23
"759",2011-02-04,0
"760",2011-02-04,1
"761",2011-02-04,2
"762",2011-02-04,3
"763",2011-02-04,5
"764",2011-02-04,6
"765",2011-02-04,7
"766",2011-02-04,8
"767",2011-02-04,9
"768",2011-02-04,10
"769",2011-02-04,11
"770",2011-02-04,12
"771",2011-02-04,13
"772",2011-02-04,14
"773",2011-02-04,15
"774",2011-02-04,16
"775",2011-02-04,17
"776",2011-02-04,18
"777",2011-02-04,19
"778",2011-02-04,20
"779",2011-02-04,21
"780",2011-02-04,22
"781",2011-02-04,23
"782",2011-02-05,0
"783",2011-02-05,1
"784",2011-02-05,2
"785",2011-02-05,3
"786",2011-02-05,4
"787",2011-02-05,5
"788",2011-02-05,6
"789",2011-02-05,7
"790",2011-02-05,8
"791",2011-02-05,9
"792",2011-02-05,10
"793",2011-02-05,11
"794",2011-02-05,12
"795",2011-02-05,13
"796",2011-02-05,14
"797",2011-02-05,15
"798",2011-02-05,16
"799",2011-02-05,17
"800",2011-02-05,18
"801",2011-02-05,19
"802",2011-02-05,20
"803",2011-02-05,21
"804",2011-02-05,22
"805",2011-02-05,23
"806",2011-02-06,0
"807",2011-02-06,1
"808",2011-02-06,2
"809",2011-02-06,3
"810",2011-02-06,4
"811",2011-02-06,5
"812",2011-02-06,6
"813",2011-02-06,7
"814",2011-02-06,8
"815",2011-02-06,9
"816",2011-02-06,10
"817",2011-02-06,11
"818",2011-02-06,12
"819",2011-02-06,13
"820",2011-02-06,14
"821",2011-02-06,15
"822",2011-02-06,16
"823",2011-02-06,17
"824",2011-02-06,18
"825",2011-02-06,19
"826",2011-02-06,20
"827",2011-02-06,21
"828",2011-02-06,22
"829",2011-02-06,23
"830",2011-02-07,0
"831",2011-02-07,1
"832",2011-02-07,2
"833",2011-02-07,3
"834",2011-02-07,4
"835",2011-02-07,5
"836",2011-02-07,6
"837",2011-02-07,7
"838",2011-02-07,8
"839",2011-02-07,9
"840",2011-02-07,10
"841",2011-02-07,11
"842",2011-02-07,12
"843",2011-02-07,13
"844",2011-02-07,14
"845",2011-02-07,15
"846",2011-02-07,16
"847",2011-02-07,17
"848",2011-02-07,18
"849",2011-02-07,19
"850",2011-02-07,20
"851",2011-02-07,21
"852",2011-02-07,22
"853",2011-02-07,23
"854",2011-02-08,0
"855",2011-02-08,1
"856",2011-02-08,2
"857",2011-02-08,3
"858",2011-02-08,4
"859",2011-02-08,5
"860",2011-02-08,6
"861",2011-02-08,7
"862",2011-02-08,8
"863",2011-02-08,9
"864",2011-02-08,10
"865",2011-02-08,11
"866",2011-02-08,12
"867",2011-02-08,13
"868",2011-02-08,14
"869",2011-02-08,15
"870",2011-02-08,16
"871",2011-02-08,17
"872",2011-02-08,18
"873",2011-02-08,19
"874",2011-02-08,20
"875",2011-02-08,21
"876",2011-02-08,22
"877",2011-02-08,23
"878",2011-02-09,0
"879",2011-02-09,1
"880",2011-02-09,2
"881",2011-02-09,3
"882",2011-02-09,5
"883",2011-02-09,6
"884",2011-02-09,7
"885",2011-02-09,8
"886",2011-02-09,9
"887",2011-02-09,10
"888",2011-02-09,11
"889",2011-02-09,12
"890",2011-02-09,13
"891",2011-02-09,14
"892",2011-02-09,15
"893",2011-02-09,16
"894",2011-02-09,17
"895",2011-02-09,18
"896",2011-02-09,19
"897",2011-02-09,20
"898",2011-02-09,21
"899",2011-02-09,22
"900",2011-02-09,23
"901",2011-02-10,0
"902",2011-02-10,1
"903",2011-02-10,2
"904",2011-02-10,4
"905",2011-02-10,5
"906",2011-02-10,6
"907",2011-02-10,7
"908",2011-02-10,8
"909",2011-02-10,9
"910",2011-02-10,10
"911",2011-02-10,11
"912",2011-02-10,12
"913",2011-02-10,13
"914",2011-02-10,14
"915",2011-02-10,15
"916",2011-02-10,16
"917",2011-02-10,17
"918",2011-02-10,18
"919",2011-02-10,19
"920",2011-02-10,20
"921",2011-02-10,21
"922",2011-02-10,22
"923",2011-02-10,23
"924",2011-02-11,0
"925",2011-02-11,1
"926",2011-02-11,2
"927",2011-02-11,5
"928",2011-02-11,6
"929",2011-02-11,7
"930",2011-02-11,8
"931",2011-02-11,9
"932",2011-02-11,10
"933",2011-02-11,11
"934",2011-02-11,12
"935",2011-02-11,13
"936",2011-02-11,14
"937",2011-02-11,15
"938",2011-02-11,16
"939",2011-02-11,17
"940",2011-02-11,18
"941",2011-02-11,19
"942",2011-02-11,20
"943",2011-02-11,21
"944",2011-02-11,22
"945",2011-02-11,23
"946",2011-02-12,0
"947",2011-02-12,1
"948",2011-02-12,2
"949",2011-02-12,3
"950",2011-02-12,4
"951",2011-02-12,5
"952",2011-02-12,6
"953",2011-02-12,7
"954",2011-02-12,8
"955",2011-02-12,9
"956",2011-02-12,10
"957",2011-02-12,11
"958",2011-02-12,12
"959",2011-02-12,13
"960",2011-02-12,14
"961",2011-02-12,15
"962",2011-02-12,16
"963",2011-02-12,17
"964",2011-02-12,18
"965",2011-02-12,19
"966",2011-02-12,20
"967",2011-02-12,21
"968",2011-02-12,22
"969",2011-02-12,23
"970",2011-02-13,0
"971",2011-02-13,1
"972",2011-02-13,2
"973",2011-02-13,3
"974",2011-02-13,4
"975",2011-02-13,6
"976",2011-02-13,7
"977",2011-02-13,8
"978",2011-02-13,9
"979",2011-02-13,10
"980",2011-02-13,11
"981",2011-02-13,12
"982",2011-02-13,13
"983",2011-02-13,14
"984",2011-02-13,15
"985",2011-02-13,16
"986",2011-02-13,17
"987",2011-02-13,18
"988",2011-02-13,19
"989",2011-02-13,20
"990",2011-02-13,21
"991",2011-02-13,22
"992",2011-02-13,23
"993",2011-02-14,0
"994",2011-02-14,1
"995",2011-02-14,2
"996",2011-02-14,3
"997",2011-02-14,4
"998",2011-02-14,5
"999",2011-02-14,6
"1000",2011-02-14,7
"1001",2011-02-14,8
"1002",2011-02-14,9
"1003",2011-02-14,10
"1004",2011-02-14,11
"1005",2011-02-14,12
"1006",2011-02-14,13
"1007",2011-02-14,14
"1008",2011-02-14,15
"1009",2011-02-14,16
"1010",2011-02-14,17
"1011",2011-02-14,18
"1012",2011-02-14,19
"1013",2011-02-14,20
"1014",2011-02-14,21
"1015",2011-02-14,22
"1016",2011-02-14,23
"1017",2011-02-15,0
"1018",2011-02-15,1
"1019",2011-02-15,2
"1020",2011-02-15,4
"1021",2011-02-15,5
"1022",2011-02-15,6
"1023",2011-02-15,7
"1024",2011-02-15,8
"1025",2011-02-15,9
"1026",2011-02-15,10
"1027",2011-02-15,11
"1028",2011-02-15,12
"1029",2011-02-15,13
"1030",2011-02-15,14
"1031",2011-02-15,15
"1032",2011-02-15,16
"1033",2011-02-15,17
"1034",2011-02-15,18
"1035",2011-02-15,19
"1036",2011-02-15,20
"1037",2011-02-15,21
"1038",2011-02-15,22
"1039",2011-02-15,23
"1040",2011-02-16,0
"1041",2011-02-16,1
"1042",2011-02-16,3
"1043",2011-02-16,4
"1044",2011-02-16,5
"1045",2011-02-16,6
"1046",2011-02-16,7
"1047",2011-02-16,8
"1048",2011-02-16,9
"1049",2011-02-16,10
"1050",2011-02-16,11
"1051",2011-02-16,12
"1052",2011-02-16,13
"1053",2011-02-16,14
"1054",2011-02-16,15
"1055",2011-02-16,16
"1056",2011-02-16,17
"1057",2011-02-16,18
"1058",2011-02-16,19
"1059",2011-02-16,20
"1060",2011-02-16,21
"1061",2011-02-16,22
"1062",2011-02-16,23
"1063",2011-02-17,0
"1064",2011-02-17,1
"1065",2011-02-17,2
"1066",2011-02-17,3
"1067",2011-02-17,4
"1068",2011-02-17,5
"1069",2011-02-17,6
"1070",2011-02-17,7
"1071",2011-02-17,8
"1072",2011-02-17,9
"1073",2011-02-17,10
"1074",2011-02-17,11
"1075",2011-02-17,12
"1076",2011-02-17,13
"1077",2011-02-17,14
"1078",2011-02-17,15
"1079",2011-02-17,16
"1080",2011-02-17,17
"1081",2011-02-17,18
"1082",2011-02-17,19
"1083",2011-02-17,20
"1084",2011-02-17,21
"1085",2011-02-17,22
"1086",2011-02-17,23
"1087",2011-02-18,0
"1088",2011-02-18,1
"1089",2011-02-18,2
"1090",2011-02-18,3
"1091",2011-02-18,4
"1092",2011-02-18,5
"1093",2011-02-18,6
"1094",2011-02-18,7
"1095",2011-02-18,8
"1096",2011-02-18,9
"1097",2011-02-18,10
"1098",2011-02-18,11
"1099",2011-02-18,12
"1100",2011-02-18,13
"1101",2011-02-18,14
"1102",2011-02-18,15
"1103",2011-02-18,16
"1104",2011-02-18,17
"1105",2011-02-18,18
"1106",2011-02-18,19
"1107",2011-02-18,20
"1108",2011-02-18,21
"1109",2011-02-18,22
"1110",2011-02-18,23
"1111",2011-02-19,0
"1112",2011-02-19,1
"1113",2011-02-19,2
"1114",2011-02-19,3
"1115",2011-02-19,4
"1116",2011-02-19,5
"1117",2011-02-19,6
"1118",2011-02-19,7
"1119",2011-02-19,8
"1120",2011-02-19,9
"1121",2011-02-19,10
"1122",2011-02-19,11
"1123",2011-02-19,12
"1124",2011-02-19,13
"1125",2011-02-19,14
"1126",2011-02-19,15
"1127",2011-02-19,16
"1128",2011-02-19,17
"1129",2011-02-19,18
"1130",2011-02-19,19
"1131",2011-02-19,20
"1132",2011-02-19,21
"1133",2011-02-19,22
"1134",2011-02-19,23
"1135",2011-02-20,0
"1136",2011-02-20,1
"1137",2011-02-20,2
"1138",2011-02-20,3
"1139",2011-02-20,4
"1140",2011-02-20,6
"1141",2011-02-20,7
"1142",2011-02-20,8
"1143",2011-02-20,9
"1144",2011-02-20,10
"1145",2011-02-20,11
"1146",2011-02-20,12
"1147",2011-02-20,13
"1148",2011-02-20,14
"1149",2011-02-20,15
"1150",2011-02-20,16
"1151",2011-02-20,17
"1152",2011-02-20,18
